last_scraped,name,neighbourhood_cleansed,latitude,longitude,price
9/22/2022,Villa Dante,Cuajimalpa de Morelos,19.38283,-99.27178,"$4,001.00 "
9/22/2022,"Area Sta.Fe,IberoABC Hospital Rooms",Cuajimalpa de Morelos,19.35379,-99.28459,$500.00 
9/23/2022,Classic but Modern Apartment in Condesa,Cuauhtémoc,19.41824,-99.1756,$599.00 
9/23/2022,CONDESA HAUS  B&B,Cuauhtémoc,19.41162,-99.17794,"$18,000.00 "
9/22/2022,Live Mexico City Like a Small Town,Benito Juárez,19.38468,-99.17708,$740.00 
9/23/2022,Great space in historical San Rafael,Cuauhtémoc,19.43977,-99.15605,$650.00 
9/23/2022,AMAZING LOFT in the heart of CDMX,Miguel Hidalgo,19.40243,-99.17828,"$1,441.00 "
9/23/2022,Entire beautiful duplex in la Roma,Cuauhtémoc,19.42113,-99.15955,"$1,797.00 "
9/23/2022,Spacious Clean Quiet room (own bath) in la Condesa,Cuauhtémoc,19.41083,-99.18057,"$1,198.00 "
9/23/2022,"2 bedroom apt. deco bldg, Condesa",Cuauhtémoc,19.41152,-99.16857,"$2,496.00 "
9/23/2022,Suite 5 - Suites Condesa Mexico,Cuauhtémoc,19.40915,-99.17321,$900.00 
9/23/2022,Beautiful light Studio Coyoacan- full equipped !,Coyoacán,19.35448,-99.16217,"$1,178.00 "
9/23/2022,Suite 7 - Suites Condesa Mexico,Cuauhtémoc,19.40915,-99.17321,$850.00 
9/23/2022,Suite 12 - Suites Condesa Mexico,Cuauhtémoc,19.40915,-99.17321,$971.00 
9/23/2022,NEW  DESIGNER LOFT,Miguel Hidalgo,19.43211,-99.19327,"$3,754.00 "
9/22/2022,Apartment with Internet & 2 cable TV's,Coyoacán,19.34183,-99.15533,$600.00 
9/22/2022,MARIA DEL ALMA,Coyoacán,19.35416,-99.16488,"$1,360.00 "
9/23/2022,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,Miguel Hidalgo,19.40826,-99.18659,"$3,794.00 "
9/22/2022,ROOMS CASA INDIGO WITH TERRACE AT CITY CENTER,Cuauhtémoc,19.44262,-99.14566,$440.00 
9/23/2022,Cool room near WTC and Metrobus,Benito Juárez,19.39675,-99.17581,$290.00 
9/22/2022,Well located on calm neighborhood,Benito Juárez,19.38336,-99.18197,$460.00 
9/23/2022,"Beautiful, Big apartment, Condesa,",Cuauhtémoc,19.41319,-99.1758,"$1,897.00 "
9/23/2022,Business Suite RED near Reforma Av.,Cuauhtémoc,19.43078,-99.17011,"$1,098.00 "
9/23/2022,"Huge Luxurious Suite 70's style, perfectly located",Cuauhtémoc,19.4239,-99.1689,"$1,093.00 "
9/22/2022,"Lovely comfortable room facing garden, Alcatraz",Coyoacán,19.34424,-99.17095,$600.00 
9/23/2022,Spacious apt with the best rooftop in Condesa,Cuauhtémoc,19.41057,-99.1773,"$50,000.00 "
9/23/2022,Business Suite PURPLE near Reforma,Cuauhtémoc,19.43068,-99.17007,$998.00 
9/23/2022,Extraordinarily Spacious Apt. in Condesa,Cuauhtémoc,19.41057,-99.1773,"$5,000.00 "
9/23/2022,Sunny & Fresh Apt. with best rooftop in Condesa,Cuauhtémoc,19.41057,-99.1773,"$2,000.00 "
9/23/2022,Business Suite BLUE near Reforma Av,Cuauhtémoc,19.4306,-99.17074,$998.00 
9/23/2022,Smack in the Middle of La Condesa,Cuauhtémoc,19.41554,-99.17927,$799.00 
9/23/2022,Business Suite BLACK near Reforma,Cuauhtémoc,19.43052,-99.17003,$998.00 
9/23/2022,"Traditional neighborhood: Escandón, Condesa & Roma",Cuauhtémoc,19.4059,-99.17548,"$1,200.00 "
9/23/2022,Cozy House with Roofterrace group 29 pax Center DF,Cuauhtémoc,19.44207,-99.14797,"$2,796.00 "
9/23/2022,Spacious and cozy apartment in trendy Condesa,Cuauhtémoc,19.40491,-99.17177,$802.00 
9/23/2022,1 Bedroom Apt with Balcony  / City skyline view,Cuauhtémoc,19.42063,-99.16586,"$1,638.00 "
9/23/2022,"Best location in town, Reforma Ave area.",Cuauhtémoc,19.4236,-99.16979,$899.00 
9/23/2022,15 blocks from Paseo de la Reforma,Miguel Hidalgo,19.43956,-99.17263,$810.00 
9/23/2022,"Independent studio, top location",Cuauhtémoc,19.43516,-99.13806,$599.00 
9/23/2022,Radiant Apartment with Terrace in Roma Norte,Cuauhtémoc,19.42288,-99.15488,"$1,555.00 "
9/23/2022,"""Chavela"" Private & Furnished Room",Cuauhtémoc,19.41472,-99.15602,$524.00 
9/23/2022,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,Miguel Hidalgo,19.40663,-99.18653,"$3,315.00 "
