Brand,Street Address,City,State/Province,Country,Postcode,Longitude,Latitude
Starbucks,"Jose Ma Castorena 320, Col. Villas Cuajimalpa",Mexico City,DIF,MX,5000,-99.29,19.36
Starbucks,"Av. Camino al Olivo No. 22, Col. Lomas de Vistahermosa",Mexico City,DIF,MX,5100,-99.28,19.37
Starbucks,Av. Tamaulipas No. 3000,Mexico City,DIF,MX,5340,-99.28,19.36
Starbucks,"Av. Vasco de Quiroga 3800, Local 255, Col. Antigua Mina La Totolapa",Mexico City,DIF,MX,5109,-99.28,19.36
Starbucks,"Av. Vasco de Quiroga 3800, Local 155",Mexico City,DIF,MX,5109,-99.28,19.36
Starbucks,"Av Carlos Graef Fernandez #154 Local P.B, Col. Cuajimalpa",Mexico City,DIF,MX,5000,-99.28,19.36
Starbucks,"Guillermo Gonzalez Camarena No. 2000, esq. Vasco de Quirogam Centro de Cd.",Mexico City,DIF,MX,1210,-99.28,19.36
Starbucks,"Av. Vasco de Quiroga No. 3900, Col. Santa Fe Cuajimalpa, Del Cuajimalpa",Mexico City,DIF,MX,5348,-99.28,19.36
Starbucks,"Av. Vasco de Quiroga #3800, Local 1,000, Santa Fe, Deleg. Cuajimalpa",Mexico City,DIF,MX,5109,-99.28,19.36
Starbucks,"Juan Salvador Agraz 61, Col. Santa Fe, Cuajimalpa",Mexico City,DIF,MX,5300,-99.28,19.36
Starbucks,Lateral Autopista Mexico-Toluca #1235,Mexico City,DIF,MX,54054,-99.28,19.36
Starbucks,"Av. Vasco de Quiroga 3800 loc. 255, Col Antigua Mina di Totolapa",Mexico City,DIF,MX,1210,-99.28,19.36
Starbucks,"Av. Santa Fe  482;  Col. Cruz Manca;, Del. Cuajimpala",Mexico City,DIF,MX,5300,-99.27,19.36
Starbucks,"de la Industria Militar 1296,, Lomas de Chamizal, Cuajimalpa",Ciudad de Mexico,DIF,MX,5129,-99.26,19.39
Starbucks,"Prolongacion Paseo de la Reforma 400, Pena Blanca Santa Fe, Alvaro Obregon",Mexico City,DIF,MX,1210,-99.26,19.38
Starbucks,"Javier Barros Sierra, s/n Col Centro de Ciudad, Santa Fe",Mexico City,DIF,MX,1210,-99.26,19.37
Starbucks,"Act. Roberto Medellin 800 col Santa Fe, Del. Alvaro Obregon",Mexico City,DIF,MX,1210,-99.26,19.37
Starbucks,"Av. Santa Fe No. 495 PB Local 2, Col. Cruz Manca",Mexico City,DIF,MX,5349,-99.26,19.37
Starbucks,"Ave Santa Fe No 94 Col Zedec Santa Fe, Office Tower",Mexico City,DIF,MX,11560,-99.26,19.37
Starbucks,"Ave Santa Fe No. 94, Col Zedec Santa Fe",Mexico City,DIF,MX,11560,-99.26,19.37
