nombre_col,num_code,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado,no_airbnb,no_starbucks,airbnb_mean_price,flag_airbnb,flag_starbucks,valor_unitario_pred,cambio_porcentual
LA LOMA,1376,9402.07,19.36949563,-99.24993096,Álvaro Obregón,CDMX,17,0,1698.294118,,,9402.07,0%
JARDINES EN LA MONTAA,14450,8986.96822,19.30107075,-99.2037663,Tlalpan,CDMX,15,0,1246.466667,,,8986.96822,0%
"BOSQUE DE CHAPULTEPEC I, II Y III SECCIONES",11590,9168.262326,19.41993463,-99.19382232,Miguel Hidalgo,CDMX,8,0,6895.5,,,9168.262326,0%
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),11700,8436.29,19.41106737,-99.22643306,Miguel Hidalgo,CDMX,13,0,16461.30769,,,8436.29,0%
LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),11950,9690.434094,19.4232067,-99.22615973,Miguel Hidalgo,CDMX,69,0,1500.26087,,,9690.434094,0%
BOSQUES DE LAS LOMAS,11910,11304.78212,19.40399006,-99.24232527,Miguel Hidalgo,CDMX,16,1,2455.1875,,,11304.78212,0%
VILLA OLIMPICA LIBERADOR MIGUEL HIDALGO (U HAB),14020,10689.20628,19.29699119,-99.18709909,Tlalpan,CDMX,25,1,765.56,,,10689.20628,0%
EMILIO PORTES GIL PEMEX PICACHO (U HAB),14200,7213.66,19.30169256,-99.21958146,Tlalpan,CDMX,14,0,1284.5,,,7213.66,0%
PORTAL DEL SOL,5500,8366.111319,19.34938895,-99.26814902,Cuajimalpa,CDMX,0,0,0,,,8366.111319,0%
PARQUES DEL PEDREGAL,14210,9396.702381,19.30038959,-99.19193311,Tlalpan,CDMX,25,1,1322.6,,,9396.702381,0%
CONDOMINIO DEL BOSQUE (FRACC)-BOSQUE DE TLALPAN,14266,6765.439567,19.29354454,-99.19028145,Tlalpan,CDMX,20,0,827.2,,,6765.439567,0%
LOMAS VIRREYES (LOMAS DE CHAPULTEPEC),11100,9965.851816,19.41770202,-99.21005997,Miguel Hidalgo,CDMX,39,1,2286.666667,,,9965.851816,0%
LOS MORALES (POLANCO),11570,17174.88594,19.43708878,-99.21059419,Miguel Hidalgo,CDMX,357,2,1946.10084,,,17174.88594,0%
LOMAS DE CHAPULTEPEC,11850,14073.35148,19.42754848,-99.20903231,Miguel Hidalgo,CDMX,207,2,2932.855072,,,14073.35148,0%
CORREDOR SANTA FE,5348,12276.75292,19.36053143,-99.27258652,Cuajimalpa,CDMX,172,1,1712.936047,,,12276.75292,0%
