nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
19 DE MAYO,1210,1404.4,19.36164923,-99.25353029,Álvaro Obregón,CDMX
1RA VICTORIA,1150,2061.619503,19.38668603,-99.20198527,Álvaro Obregón,CDMX
1RA VICTORIA SECCION BOSQUES,1150,1788.36,19.38782563,-99.1974462,Álvaro Obregón,CDMX
2DA  JALALPA TEPITO (AMPL),1260,1063.626266,19.37507971,-99.23373559,Álvaro Obregón,CDMX
2DA EL PIRUL (AMPL),1210,1320.71,19.37974524,-99.24223092,Álvaro Obregón,CDMX
ABRAHAM GONZALEZ,1160,2010.8,19.38652643,-99.20472555,Álvaro Obregón,CDMX
ACUEDUCTO,1100,1547.353163,19.39796907,-99.20539044,Álvaro Obregón,CDMX
ACUILOTLA,1539,1684.654748,19.35977638,-99.24364567,Álvaro Obregón,CDMX
AGUILAS 3ER PARQUE,1750,1992.200201,19.35259597,-99.21996603,Álvaro Obregón,CDMX
AGUILAS PILARES,1010,2611.596,19.35633559,-99.20358708,Álvaro Obregón,CDMX
ALCANTARILLA,1700,2167.62,19.33913407,-99.24593017,Álvaro Obregón,CDMX
ALFALFAR,1410,2582.93,19.37565654,-99.20050881,Álvaro Obregón,CDMX
ALFONSO XIII,1080,2591.239467,19.37663796,-99.1950567,Álvaro Obregón,CDMX
ALPES,1010,5101.801534,19.36014219,-99.19400993,Álvaro Obregón,CDMX
ALPES (AMPL),1010,2462.18,19.35650852,-99.21026543,Álvaro Obregón,CDMX
ARBOLEDAS POLITOCO,1150,1510.290185,19.363226,-99.24556578,Álvaro Obregón,CDMX
ARCOS DE CENTENARIO,1110,1393.890886,19.35976778,-99.22719871,Álvaro Obregón,CDMX
ARTURO GAMIZ,1506,1043.72,19.35523859,-99.25481401,Álvaro Obregón,CDMX
ARTURO MARTINEZ,1200,1917.105888,19.38681816,-99.21708993,Álvaro Obregón,CDMX
ARVIDE,1280,1990.615667,19.38144681,-99.20412203,Álvaro Obregón,CDMX
ATLAMAXAC,1500,1458.404486,19.35619206,-99.24738086,Álvaro Obregón,CDMX
ATLAMAYA,1760,4275.98,19.35020885,-99.20219321,Álvaro Obregón,CDMX
AVE REAL,1550,1057.83,19.36143728,-99.23769831,Álvaro Obregón,CDMX
AVE REAL (AMPL),1120,1057.83,19.36215639,-99.23545268,Álvaro Obregón,CDMX
