nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
PORTALES II,3300,3043.363669,19.36709592,-99.14856736,Benito Juárez,CDMX
OCHO DE AGOSTO,3820,5843.884139,19.39407837,-99.18686582,Benito Juárez,CDMX
DEL VALLE I,3100,7678.251294,19.39795199,-99.16553701,Benito Juárez,CDMX
XOCO,3330,6316.729176,19.36283518,-99.16465003,Benito Juárez,CDMX
NONOALCO,3700,5510.670366,19.3810119,-99.18844913,Benito Juárez,CDMX
ATENOR SALAS,3000,3981.34497,19.40302784,-99.14779163,Benito Juárez,CDMX
EXTREMADURA INSURGENTES,3000,7036.325875,19.37656764,-99.18092339,Benito Juárez,CDMX
GENERAL PEDRO MARIA ANAYA,3000,5941.398729,19.36109407,-99.15922201,Benito Juárez,CDMX
PIEDAD NARVARTE,3000,4752.609394,19.40330356,-99.15393902,Benito Juárez,CDMX
PORTALES IV,3000,3316.954585,19.35942276,-99.14900935,Benito Juárez,CDMX
IZTACCIHUATL,3020,3129.022376,19.39025127,-99.13581698,Benito Juárez,CDMX
NARVARTE I,3020,4236.383786,19.39997053,-99.15257525,Benito Juárez,CDMX
NARVARTE II,3020,5093.056897,19.39705414,-99.15252551,Benito Juárez,CDMX
NARVARTE III,3020,4541.139261,19.39211218,-99.15864652,Benito Juárez,CDMX
NARVARTE IV,3020,5475.564554,19.39254994,-99.15149207,Benito Juárez,CDMX
NARVARTE V,3020,5126.552726,19.38617732,-99.15694731,Benito Juárez,CDMX
NARVARTE VI,3020,4703.195715,19.38677557,-99.15045868,Benito Juárez,CDMX
VERTIZ NARVARTE,3020,4900.296341,19.38196451,-99.15346174,Benito Juárez,CDMX
CENTRO URBANO PRESIDENTE ALEMAN (U HAB),3100,10774.04934,19.37094699,-99.17208938,Benito Juárez,CDMX
CIUDAD DE LOS DEPORTES,3100,7443.564527,19.38362627,-99.17979919,Benito Juárez,CDMX
DEL VALLE II,3100,7832.678007,19.39260219,-99.16712543,Benito Juárez,CDMX
DEL VALLE III,3100,7568.97083,19.38748434,-99.16754304,Benito Juárez,CDMX
DEL VALLE IV,3100,7286.619857,19.38229733,-99.16776981,Benito Juárez,CDMX
DEL VALLE V,3100,8793.208281,19.37651476,-99.16868812,Benito Juárez,CDMX
DEL VALLE VI,3100,8132.476503,19.37560985,-99.16426277,Benito Juárez,CDMX
DEL VALLE VII,3100,9365.441705,19.3688028,-99.17210654,Benito Juárez,CDMX
INSURGENTES SAN BORJA,3100,9079.361576,19.38383872,-99.17430615,Benito Juárez,CDMX
TLACOQUEMECATL DEL VALLE,3200,7594.874563,19.37637407,-99.17490182,Benito Juárez,CDMX
ACTIPAN,3230,7835.214069,19.36933442,-99.17817926,Benito Juárez,CDMX
ACACIAS,3240,8528.577114,19.36367622,-99.17367551,Benito Juárez,CDMX
MIRAVALLE,3300,3020.730313,19.36142572,-99.14105042,Benito Juárez,CDMX
PORTALES I,3300,2816.016593,19.37073174,-99.14860423,Benito Juárez,CDMX
PORTALES III,3300,3115.346987,19.3631547,-99.14894491,Benito Juárez,CDMX
RESIDENCIAL EMPERADORES,3310,4423.785389,19.36837269,-99.15805478,Benito Juárez,CDMX
STA CRUZ ATOYAC,3310,5193.082042,19.36710794,-99.15999549,Benito Juárez,CDMX
ALAMOS I,3400,5466.815399,19.4004091,-99.14088985,Benito Juárez,CDMX
ALAMOS II,3400,5520.486587,19.39460152,-99.14238722,Benito Juárez,CDMX
NIOS HEROES DE CHAPULTEPEC,3400,4237.713762,19.38611266,-99.14423287,Benito Juárez,CDMX
JOSEFA ORTIZ DE DOMINGUEZ,3410,4408.168607,19.38762736,-99.14056248,Benito Juárez,CDMX
MIGUEL ALEMAN,3410,4638.627704,19.38973089,-99.14451923,Benito Juárez,CDMX
POSTAL,3410,3170.130689,19.3906707,-99.1417112,Benito Juárez,CDMX
VILLA DE CORTES,3410,2806.328398,19.38742342,-99.13610191,Benito Juárez,CDMX
AMERICAS UNIDAS-DEL LAGO,3430,4228.090756,19.38212361,-99.14154723,Benito Juárez,CDMX
