nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
CIUDAD UNIVERSITARIA,4510,6350.760884,19.3357402,-99.19419933,Coyoacán,CDMX
SAN DIEGO CHURUBUSCO,4120,5732.474639,19.35576419,-99.14893183,Coyoacán,CDMX
LOS OLIVOS (FRACC),4890,3304.194678,19.31357318,-99.13177669,Coyoacán,CDMX
CHIMALISTAC,4319,5403.183655,19.34222862,-99.18487855,Coyoacán,CDMX
SANTA URSULA COAPA (PBLO),4650,3769.634117,19.31044083,-99.14424633,Coyoacán,CDMX
PRESIDENTES EJIDALES SEGUNDA SECCION,4470,3186.007275,19.32580326,-99.12371035,Coyoacán,CDMX
SAN MATEO (BARR),4120,5577.574072,19.35161096,-99.14850567,Coyoacán,CDMX
BOSQUES DE TETLAMEYA,4730,5782.922653,19.29908734,-99.15356662,Coyoacán,CDMX
JARDINES DEL PEDREGAL,4500,5844.597116,19.30692128,-99.19024741,Coyoacán,CDMX
PEDREGAL DE SAN ANGEL (AMPL),4500,4679.914906,19.30684629,-99.19727903,Coyoacán,CDMX
CTM VIIA CULHUACAN (U HAB),4489,3273.75,19.31923203,-99.10512937,Coyoacán,CDMX
CAMPESTRE CHURUBUSCO,4200,3980.103282,19.34543131,-99.1350432,Coyoacán,CDMX
INSURGENTES CUICUILCO,4530,5780.307133,19.30522149,-99.1820913,Coyoacán,CDMX
INFONAVIT CULHUACAN ZONA 2 (U HAB),4440,3273.75,19.33017346,-99.11920343,Coyoacán,CDMX
TAXQUENA,4250,6954.33,19.33931492,-99.12324162,Coyoacán,CDMX
ALIANZA POPULAR REVOLUCIONARIA NORTE (U HAB),4000,4778.68,19.31697979,-99.11774123,Coyoacán,CDMX
ALIANZA POPULAR REVOLUCIONARIA ORIENTE (U HAB),4000,4712.131928,19.31410109,-99.11691476,Coyoacán,CDMX
CAMPESTRE COYOACAN (FRACC),4000,3180.909364,19.30872223,-99.11710682,Coyoacán,CDMX
CTM VI CULHUACAN (U HAB),4000,3273.75,19.32351469,-99.11756731,Coyoacán,CDMX
DEL CARMEN,4000,5502.548512,19.35457535,-99.1612987,Coyoacán,CDMX
EL RELOJ,4000,3074.071993,19.3179868,-99.14140814,Coyoacán,CDMX
EL ROSEDAL I,4000,3774.186098,19.34139993,-99.15123763,Coyoacán,CDMX
IMAN 580 (U HAB),4000,5112.97,19.31020916,-99.17172696,Coyoacán,CDMX
INFONAVIT CULHUACAN ZONA 3 (U HAB),4000,3273.75,19.32793937,-99.11871006,Coyoacán,CDMX
LA CONCEPCION (BARR),4000,5046.586329,19.34646601,-99.15785013,Coyoacán,CDMX
OLIMPICA,4000,3785.99553,19.30407342,-99.16999198,Coyoacán,CDMX
OXTOPULCO UNIVERSIDAD,4000,8298.550498,19.34118117,-99.18301045,Coyoacán,CDMX
PARQUE SAN ANDRES,4000,5661.488555,19.34594948,-99.14862971,Coyoacán,CDMX
SAN LUCAS (BARR),4000,3535.228769,19.34763515,-99.1532054,Coyoacán,CDMX
VILLA COYOACAN,4000,5180.327238,19.34696677,-99.1631132,Coyoacán,CDMX
VILLA QUIETUD (FRACC),4000,3274.019389,19.30301949,-99.10610879,Coyoacán,CDMX
VILLAS DEL PEDREGAL (U HAB),4000,5112.97,19.30463507,-99.17472903,Coyoacán,CDMX
SANTA CATARINA (BARR),4010,5570.656725,19.34821336,-99.17260928,Coyoacán,CDMX
CAFETALES II (RDCIAL),4039,3782.017175,19.30778544,-99.10637409,Coyoacán,CDMX
MONTE DE PIEDAD,4040,4778.374589,19.34373798,-99.17334348,Coyoacán,CDMX
ROMERO DE TERREROS (FRACC),4040,5336.036999,19.34163469,-99.17620483,Coyoacán,CDMX
LOS CIPRESES,4100,3949.843838,19.31958916,-99.12902007,Coyoacán,CDMX
PEDREGAL DEL MAUREL,4100,5112.97,19.30879177,-99.17475808,Coyoacán,CDMX
HERMOSILLO,4200,3543.373069,19.34689319,-99.12790507,Coyoacán,CDMX
SANTA MARTHA DEL SUR,4200,3354.52,19.34210156,-99.13060124,Coyoacán,CDMX
COUNTRY CLUB,4210,5536.712398,19.35132108,-99.14306305,Coyoacán,CDMX
ALIANZA POPULAR REVOLUCIONARIA PONIENTE (U HAB),4220,4844.432723,19.31439172,-99.12179324,Coyoacán,CDMX
CTM IX CULHUACAN 32-33 (U HAB),4220,3764.91,19.30946391,-99.10264491,Coyoacán,CDMX
EX HACIENDA COAPA,4220,5029.991862,19.30945259,-99.13539473,Coyoacán,CDMX
LOS GIRASOLES II,4220,4869.076502,19.30541019,-99.12362833,Coyoacán,CDMX
PRADO CHURUBUSCO,4230,3100.548598,19.35484197,-99.12638229,Coyoacán,CDMX
EX EJIDO DE CHURUBUSCO,4250,6954.33,19.34001459,-99.13029,Coyoacán,CDMX
PASEOS DE TAXQUEA I,4250,5587.918783,19.34850287,-99.12352009,Coyoacán,CDMX
PASEOS DE TAXQUEA II,4250,5444.474545,19.3432987,-99.1249931,Coyoacán,CDMX
AMPLIACION SAN FRANCISCO CULHUACAN (EJ),4260,2764.75953,19.33467244,-99.12570523,Coyoacán,CDMX
CANAL NACIONAL 260 (U HAB),4260,2666.28,19.32664545,-99.10713239,Coyoacán,CDMX
EX EJIDO SAN FRANCISCO CULHUACAN I,4260,2593.33,19.33169383,-99.12928225,Coyoacán,CDMX
EX EJIDO SAN FRANCISCO CULHUACAN II,4260,3008.181508,19.33106077,-99.12626325,Coyoacán,CDMX
EX EJIDO SAN FRANCISCO CULHUACAN III,4260,2864.681111,19.33067581,-99.12219984,Coyoacán,CDMX
LA MAGDALENA CULHUACAN (BARR),4260,4601.93244,19.3422082,-99.119333,Coyoacán,CDMX
LA VIRGEN 1170 (U HAB),4260,2666.28,19.32378239,-99.10424211,Coyoacán,CDMX
PRESIDENTES EJIDALES PRIMERA SECCION,4260,2593.33,19.32681869,-99.12799597,Coyoacán,CDMX
SAN FRANCISCO CULHUACAN (PBLO),4260,3583.975309,19.33528248,-99.11926237,Coyoacán,CDMX
AJUSCO HUAYAMILPAS,4300,1467.791616,19.32253483,-99.15157497,Coyoacán,CDMX
AJUSCO I,4300,1440.621972,19.32452379,-99.15570047,Coyoacán,CDMX
AJUSCO II,4300,1435.46,19.32017441,-99.16138304,Coyoacán,CDMX
AJUSCO III,4300,1451.655541,19.31458183,-99.16459789,Coyoacán,CDMX
AMPLIACION CANDELARIA,4300,1969.367369,19.32835287,-99.14945867,Coyoacán,CDMX
DE LA CANDELARIA (PBLO),4300,1528.864591,19.33143151,-99.14787196,Coyoacán,CDMX
EL ROSEDAL II,4300,2799.007605,19.33869206,-99.15011311,Coyoacán,CDMX
NUEVA DIAZ ORDAZ,4300,1492.17,19.32540574,-99.14734028,Coyoacán,CDMX
PEDREGAL DE SANTA URSULA IV,4300,1435.46,19.31350861,-99.15657709,Coyoacán,CDMX
PEDREGAL DE STO DOMINGO III,4300,1339.982471,19.33124301,-99.16429578,Coyoacán,CDMX
PEDREGAL DE STO DOMINGO VI,4300,1304.97,19.32364712,-99.16526348,Coyoacán,CDMX
SAN PABLO TEPETLAPA (PBLO),4300,3185.950539,19.32375798,-99.14217405,Coyoacán,CDMX
PEDREGAL DE STO DOMINGO IV,4309,1304.97,19.32873374,-99.16671298,Coyoacán,CDMX
COPILCO UNIVERSIDAD,4310,6069.389482,19.3362613,-99.18025302,Coyoacán,CDMX
ROMERO DE TERREROS,4310,4104.836797,19.34181004,-99.17023199,Coyoacán,CDMX
ROMERO DE TERREROS (COND),4310,9185.15,19.34448595,-99.18044128,Coyoacán,CDMX
CENTRO URBANO TLALPAN (U HAB),4317,4118.344629,19.33867109,-99.14203701,Coyoacán,CDMX
COPILCO EL BAJO,4318,6607.144727,19.33907721,-99.18588019,Coyoacán,CDMX
CUADRANTE DE SAN FRANCISCO,4320,3513.224221,19.34265685,-99.16366835,Coyoacán,CDMX
PEDREGAL DE SAN FRANCISCO (FRACC),4320,4708.87125,19.33875164,-99.1657591,Coyoacán,CDMX
ADOLFO RUIZ CORTINES II,4330,1304.97,19.31778764,-99.15489952,Coyoacán,CDMX
DEL NIO JESUS (BARR),4330,3128.122622,19.34043235,-99.1589628,Coyoacán,CDMX
LOS REYES (PBLO),4330,3018.179602,19.33593084,-99.15588151,Coyoacán,CDMX
PEDREGAL DE STO DOMINGO I,4336,1551.420984,19.33472414,-99.17057181,Coyoacán,CDMX
CIUDAD JARDIN,4347,2919.591062,19.3351061,-99.14419461,Coyoacán,CDMX
ALTILLO (COND ALTILLO ACASULCO),4350,9185.15,19.34175893,-99.18117854,Coyoacán,CDMX
ALTILLO (COND ALTILLO UNIVERSIDAD),4350,7858.128654,19.34077991,-99.180647,Coyoacán,CDMX
INTEGRACION LATINOAMERICANA (U HAB),4350,5723.438994,19.33814638,-99.17874115,Coyoacán,CDMX
COPILCO EL ALTO,4360,3454.277252,19.33140075,-99.17544915,Coyoacán,CDMX
LA CANTERA (U HAB),4360,3990.633211,19.33400081,-99.17457714,Coyoacán,CDMX
PEDREGAL DE STO DOMINGO IX,4360,1304.97,19.32940983,-99.17161947,Coyoacán,CDMX
PEDREGAL DE STO DOMINGO V,4360,1304.97,19.32558425,-99.16681603,Coyoacán,CDMX
PEDREGAL DE STO DOMINGO VIII,4360,1304.97,19.32318342,-99.17167773,Coyoacán,CDMX
VILLA PANAMERICANA 1ERA. SECCIN (U HAB),4360,5112.97,19.3049739,-99.17840978,Coyoacán,CDMX
VILLA PANAMERICANA 2DA. SECCIN (U HAB),4360,5112.97,19.30642085,-99.17628901,Coyoacán,CDMX
ADOLFO RUIZ CORTINES I,4369,1433.814164,19.32098279,-99.14739935,Coyoacán,CDMX
PEDREGAL DE STO DOMINGO II,4369,1536.389726,19.33359709,-99.16160603,Coyoacán,CDMX
PEDREGAL DE STO DOMINGO VII,4369,1340.926688,19.3188122,-99.16942657,Coyoacán,CDMX
ATLANTIDA,4370,4275.450333,19.34070896,-99.14680809,Coyoacán,CDMX
RANCHO EL ROSARIO,4380,2528.18,19.32729578,-99.14309319,Coyoacán,CDMX
EDUCACION,4400,2669.005141,19.33613067,-99.13335748,Coyoacán,CDMX
EL CENTINELA,4400,3079.773343,19.33571128,-99.13956863,Coyoacán,CDMX
PETROLERA TAXQUEA,4400,2858.206356,19.33843151,-99.13267885,Coyoacán,CDMX
CROC CULHUACAN SECC 6 (U HAB),4430,3273.75,19.32749611,-99.12158169,Coyoacán,CDMX
CTM IX CULHUACAN ZONA 29-30 (U HAB),4430,3715.290047,19.31301946,-99.1024081,Coyoacán,CDMX
INFONAVIT CULHUACAN ZONA 1 (U HAB),4430,3273.75,19.33201119,-99.11938363,Coyoacán,CDMX
CTM IXA CULHUACAN (U HAB),4440,3764.91,19.31115485,-99.10595234,Coyoacán,CDMX
CTM V CULHUACAN (U HAB),4440,3272.540503,19.331108,-99.1158062,Coyoacán,CDMX
CTM VII CULHUACAN (U HAB),4440,3272.7761,19.32531259,-99.1104125,Coyoacán,CDMX
CTM VIII CULHUACAN (U HAB),4440,3273.90225,19.31636606,-99.10391292,Coyoacán,CDMX
AVANTE,4460,2992.105131,19.32845464,-99.13475483,Coyoacán,CDMX
PILOTO CULHUACAN (U HAB),4460,3273.75,19.32236547,-99.1118362,Coyoacán,CDMX
CTM X CULHUACAN (U HAB),4480,4103.760838,19.30792835,-99.11043494,Coyoacán,CDMX
IMAN,4530,5112.97,19.30782753,-99.16653915,Coyoacán,CDMX
PEDREGAL DE LA ZORRA,4600,2753.52,19.30635445,-99.16006718,Coyoacán,CDMX
PEDREGAL DE SANTA URSULA I,4600,1556.659969,19.31452475,-99.14810128,Coyoacán,CDMX
PEDREGAL DE SANTA URSULA II,4600,1435.46,19.30838063,-99.15033709,Coyoacán,CDMX
PEDREGAL DE SANTA URSULA III,4600,1435.46,19.30939556,-99.15675611,Coyoacán,CDMX
XOTEPINGO,4610,3763.070411,19.32798748,-99.14063911,Coyoacán,CDMX
LAS TROJES COAPA (U HAB),4650,3169.78,19.30797273,-99.13908734,Coyoacán,CDMX
SANTA URSULA COYOACAN,4650,3966.915489,19.30373716,-99.17246613,Coyoacán,CDMX
JOYAS DEL PEDREGAL (FRACC),4660,4054.03,19.30555088,-99.15794805,Coyoacán,CDMX
CENTRO URBANO (U HAB),4700,5112.97,19.30687418,-99.17433364,Coyoacán,CDMX
VILLA PANAMERICANA 3ERA. SECCIN (U HAB),4700,5112.97,19.30768187,-99.17213921,Coyoacán,CDMX
VILLA PANAMERICANA 4TA. SECCIN (U HAB),4700,5112.97,19.3070104,-99.16940591,Coyoacán,CDMX
VILLA PANAMERICANA 5TA. SECCIN (U HAB),4700,5112.97,19.30899324,-99.16832673,Coyoacán,CDMX
VILLA PANAMERICANA 6TA. SECCIN (U HAB),4700,5112.97,19.31106294,-99.16975358,Coyoacán,CDMX
VILLA PANAMERICANA 7MA. SECCIN (U HAB),4700,5112.97,19.30392025,-99.16727237,Coyoacán,CDMX
VISTAS DEL MAUREL (U HAB),4700,3946.77,19.30528376,-99.17338819,Coyoacán,CDMX
CANTIL DEL PEDREGAL,4730,2953.56,19.30048793,-99.15736358,Coyoacán,CDMX
MEDIA LUNA,4737,2953.56,19.30196373,-99.16032783,Coyoacán,CDMX
EL CARACOL,4739,4268.102549,19.30425439,-99.16350913,Coyoacán,CDMX
LOS CEDROS (FRACC),4800,3123.51,19.31374525,-99.11298204,Coyoacán,CDMX
EMILIANO ZAPATA (U HAB),4810,1853.75,19.31751083,-99.11023891,Coyoacán,CDMX
JARDINES DE COYOACAN (FRACC),4810,4442.118908,19.31399057,-99.12694142,Coyoacán,CDMX
PRADOS DE COYOACAN,4810,2798.592074,19.318219,-99.13184475,Coyoacán,CDMX
EMILIANO ZAPATA,4815,3761.989901,19.3266326,-99.13793632,Coyoacán,CDMX
CARMEN SERDAN,4850,3273.75,19.31976097,-99.10834572,Coyoacán,CDMX
LAS CABAAS,4850,4373.05,19.31106677,-99.12743645,Coyoacán,CDMX
EL VERGEL DE COYOACAN ( INFONAVIT EL HUESO) (U HAB),4859,4323.3,19.30733156,-99.13653432,Coyoacán,CDMX
ESPARTACO,4870,2820.79201,19.3176632,-99.13530923,Coyoacán,CDMX
LOS ROBLES (FRACC),4870,2503.45,19.31509008,-99.13323944,Coyoacán,CDMX
LAS CAMPANAS,4890,3275.892927,19.3080377,-99.11993716,Coyoacán,CDMX
LOS OLIVOS (U HAB),4890,5970.23,19.31257104,-99.13426627,Coyoacán,CDMX
EL PARQUE DE COYOACAN (FRACC),4899,4421.715666,19.31101348,-99.1310007,Coyoacán,CDMX
CANAL NACIONAL (U HAB),4909,3764.91,19.30856854,-99.10076225,Coyoacán,CDMX
STUNAM CULHUACAN (U HAB),4909,3273.75,19.32100016,-99.10311434,Coyoacán,CDMX
CAFETALES I (RDCIAL),4918,3814.501342,19.31303889,-99.10964201,Coyoacán,CDMX
LOS GIRASOLES I,4920,4574.596168,19.30512227,-99.12176306,Coyoacán,CDMX
LOS GIRASOLES III,4920,4468.473388,19.3079899,-99.12586933,Coyoacán,CDMX
SANTA CECILIA,4930,3152.208285,19.30708776,-99.11402592,Coyoacán,CDMX
LOS SAUCES (FRACC),4940,3227.097143,19.30390683,-99.11648843,Coyoacán,CDMX
EL MIRADOR,4950,4344.85388,19.30222899,-99.10872701,Coyoacán,CDMX
HACIENDAS DE COYOACAN (FRACC),4970,3356.300318,19.30306847,-99.11220654,Coyoacán,CDMX
VIEJO EJIDO SANTA URSULA COAPA,4980,2113.51194,19.30475503,-99.14043567,Coyoacán,CDMX
