nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
LAS TINAJAS,5370,11771.848,19.35697515,-99.28070791,Cuajimalpa,CDMX
AMADO NERVO,5000,2183.41,19.36830231,-99.29520154,Cuajimalpa,CDMX
BOSQUES DE LAS LOMAS,5000,5798.997818,19.38684789,-99.25766081,Cuajimalpa,CDMX
EL CONTADERO,5000,2485.805564,19.34875418,-99.2960624,Cuajimalpa,CDMX
EL MOLINO,5000,2955.958295,19.36569044,-99.28247036,Cuajimalpa,CDMX
JARDINES DE LA PALMA (HUIZACHITO),5000,2622.922119,19.37036912,-99.28033965,Cuajimalpa,CDMX
LOMAS DEL CHAMIZAL,5000,3851.097397,19.38956049,-99.26258932,Cuajimalpa,CDMX
SAN JOSE DE LOS CEDROS II,5000,2225.319016,19.36672265,-99.28756828,Cuajimalpa,CDMX
TEPETONGO,5000,2715.99785,19.37152603,-99.29181542,Cuajimalpa,CDMX
ZENTLAPATL,5010,1149.962215,19.3540501,-99.30778398,Cuajimalpa,CDMX
LOMA DEL PADRE,5020,1116.347146,19.3463386,-99.31102172,Cuajimalpa,CDMX
SAN PEDRO CUAJIMALPA (PBLO),5030,2411.207932,19.35656245,-99.29741497,Cuajimalpa,CDMX
AHUATENCO,5039,1958.330881,19.36447758,-99.3011631,Cuajimalpa,CDMX
SAN PABLO CHIMALPA (PBLO),5050,1034.514,19.35302772,-99.31769488,Cuajimalpa,CDMX
EBANO (U HAB),5100,1999.032243,19.37427309,-99.28862162,Cuajimalpa,CDMX
LOMAS DE VISTA HERMOSA,5100,3158.367745,19.38034734,-99.27297753,Cuajimalpa,CDMX
PALO ALTO (GRANJAS),5118,4332.982923,19.38435145,-99.25377594,Cuajimalpa,CDMX
SAN JOSE DE LOS CEDROS I,5200,1781.35,19.36765438,-99.28990631,Cuajimalpa,CDMX
NAVIDAD (GRANJAS DE NAVIDAD),5219,2290.399354,19.37353757,-99.28507038,Cuajimalpa,CDMX
LA RETAMA,5230,2014.27,19.37507377,-99.2890657,Cuajimalpa,CDMX
JESUS DEL MONTE,5260,2091.918267,19.36680997,-99.29378246,Cuajimalpa,CDMX
MANZANASTITLA,5270,2125.980692,19.36618914,-99.29800326,Cuajimalpa,CDMX
ADOLFO LOPEZ MATEOS,5280,2183.41,19.36415936,-99.29526629,Cuajimalpa,CDMX
EL YAQUI,5300,7774.541541,19.36194078,-99.28331865,Cuajimalpa,CDMX
EL MOLINITO,5310,1620.71,19.36150486,-99.28707002,Cuajimalpa,CDMX
MEMETLA,5310,1620.71,19.36053251,-99.28599902,Cuajimalpa,CDMX
LOMAS DE MEMETLA,5330,1797.596596,19.35652935,-99.28804074,Cuajimalpa,CDMX
CORREDOR SANTA FE,5348,12276.75292,19.36053143,-99.27258652,Cuajimalpa,CDMX
EL TIANGUILLO,5400,890.9928195,19.32426332,-99.32299255,Cuajimalpa,CDMX
1o DE MAYO,5410,1479.518929,19.33814555,-99.32401561,Cuajimalpa,CDMX
LAS LAJAS,5410,1098.5,19.3175804,-99.3335047,Cuajimalpa,CDMX
SAN LORENZO ACOPILCO (PBLO),5410,1242.593383,19.33022864,-99.32614126,Cuajimalpa,CDMX
TEXCALCO,5410,196.31,19.32866943,-99.33109569,Cuajimalpa,CDMX
PORTAL DEL SOL,5500,8366.111319,19.34938895,-99.26814902,Cuajimalpa,CDMX
LA VENTA,5520,626.7161111,19.33383148,-99.31010168,Cuajimalpa,CDMX
ABDIAS GARCIA SOTO,5530,1620.71,19.35222655,-99.29234157,Cuajimalpa,CDMX
SAN MATEO TLALTENANGO (PBLO),5600,2328.250418,19.34374559,-99.27545871,Cuajimalpa,CDMX
CRUZ BLANCA,5700,1034.499901,19.32105124,-99.32737122,Cuajimalpa,CDMX
LA PILA,5710,1002.972759,19.31826894,-99.33411936,Cuajimalpa,CDMX
XALPA,5730,793.0218939,19.31455257,-99.33110437,Cuajimalpa,CDMX
COLA DE PATO,5750,790.69,19.30590659,-99.33956453,Cuajimalpa,CDMX
AGUA BENDITA,5780,1078.542036,19.35623283,-99.30836298,Cuajimalpa,CDMX
