nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
15 DE AGOSTO,7880,2425.71,19.48487485,-99.10704528,Gustavo A. Madero,CDMX
25 DE JULIO,7570,1833.008176,19.49565238,-99.08147544,Gustavo A. Madero,CDMX
51 LEGISLATURA,7460,2145.412609,19.48352257,-99.09307167,Gustavo A. Madero,CDMX
6 DE JUNIO,7788,781.7716822,19.55060371,-99.12587046,Gustavo A. Madero,CDMX
7 DE NOVIEMBRE,7840,2126.505874,19.45957128,-99.11975349,Gustavo A. Madero,CDMX
ACUEDUCTO DE GUADALUPE (RDCIAL),7270,3093.31,19.5235893,-99.14979428,Gustavo A. Madero,CDMX
ACUEDUCTO DE GUADALUPE (U HAB),7279,3615.738464,19.52697053,-99.1505314,Gustavo A. Madero,CDMX
AHUEHUETES,7530,711.6815449,19.54601626,-99.13122056,Gustavo A. Madero,CDMX
AIDEE SOLS CRDENAS-MATAS ROMERO (U HAB),7280,1191.33,19.53356919,-99.14599881,Gustavo A. Madero,CDMX
ARAGON INGUARAN,7880,1981.83,19.47073691,-99.10740727,Gustavo A. Madero,CDMX
ARAGON LA VILLA (ARAGON),7940,2148.535759,19.47961869,-99.11503691,Gustavo A. Madero,CDMX
ARBOLEDAS DE CUAUTEPEC,7240,525.625509,19.56117933,-99.1250456,Gustavo A. Madero,CDMX
ARBOLEDAS DE CUAUTEPEC (AMPL),7750,539.7326437,19.56537224,-99.12570825,Gustavo A. Madero,CDMX
ARROYO GUADALUPE (U HAB),7720,2747.95,19.51084074,-99.13671126,Gustavo A. Madero,CDMX
BELISARIO DOMINGUEZ,7890,1981.83,19.46267915,-99.11085419,Gustavo A. Madero,CDMX
BENITO JUAREZ,7290,944.33,19.53249945,-99.13917465,Gustavo A. Madero,CDMX
BENITO JUAREZ (AMPL),7259,883.2521607,19.53496056,-99.13806116,Gustavo A. Madero,CDMX
BONDOJITO,7860,1981.83,19.46676264,-99.11089516,Gustavo A. Madero,CDMX
C T M ARAGON (U),7990,2233.44,19.45291587,-99.05617555,Gustavo A. Madero,CDMX
C T M ARAGON AMPLIACION (U),7999,2233.44,19.45539975,-99.05333891,Gustavo A. Madero,CDMX
CAMINO A SAN JUAN DE ARAGON (PBLO),7969,2252.96,19.46827618,-99.08929972,Gustavo A. Madero,CDMX
CAMPESTRE ARAGON I,7930,2041.86,19.48792994,-99.07880856,Gustavo A. Madero,CDMX
CAMPESTRE ARAGON II,7960,2041.86,19.48310728,-99.08112239,Gustavo A. Madero,CDMX
CAPULTITLAN,7770,2611.56,19.47816145,-99.13320299,Gustavo A. Madero,CDMX
CASAS ALEMAN (AMPL) I,7960,1993.89,19.47729809,-99.08156877,Gustavo A. Madero,CDMX
CASAS ALEMAN (AMPL) II,7969,1993.89,19.47841696,-99.08680023,Gustavo A. Madero,CDMX
CASTILLO CHICO,7258,999.1610316,19.54093434,-99.13610288,Gustavo A. Madero,CDMX
CASTILLO GRANDE,7290,963.7799762,19.53806776,-99.1383248,Gustavo A. Madero,CDMX
CASTILLO GRANDE (AMPL),7258,734.45,19.53675795,-99.13685638,Gustavo A. Madero,CDMX
CERRO PRIETO,7960,1981.83,19.45271672,-99.09828707,Gustavo A. Madero,CDMX
CHALMA DE GUADALUPE I,7210,985.2473129,19.55538803,-99.15091227,Gustavo A. Madero,CDMX
CHALMA DE GUADALUPE II,7230,985.96,19.55000993,-99.15431081,Gustavo A. Madero,CDMX
CHURUBUSCO TEPEYAC,7730,2959.373514,19.48727146,-99.13781711,Gustavo A. Madero,CDMX
COCOYOTES,7190,585.93,19.54826579,-99.13079116,Gustavo A. Madero,CDMX
COCOYOTES (AMPL),7188,672.9,19.55079956,-99.12792479,Gustavo A. Madero,CDMX
COMPOSITORES MEXICANOS,7230,635.32,19.56561995,-99.14042392,Gustavo A. Madero,CDMX
CONSTITUCION DE LA REPUBLICA,7469,2346.712418,19.48323021,-99.1002972,Gustavo A. Madero,CDMX
COOPERATIVA LUIS ENRIQUE RODRGUEZ OROZCO (U HAB),7280,1191.33,19.53055009,-99.14226247,Gustavo A. Madero,CDMX
CTM ATZACOALCO (U HAB),7420,1688.044303,19.50764747,-99.09970984,Gustavo A. Madero,CDMX
CTM EL RISCO (U HAB),7090,1715.62,19.50940326,-99.09598612,Gustavo A. Madero,CDMX
CUAUTEPEC DE MADERO,7200,938.48,19.54562703,-99.13903566,Gustavo A. Madero,CDMX
CUAUTEPEC EL ALTO (PBLO),7700,914.8437966,19.55703149,-99.13394294,Gustavo A. Madero,CDMX
CUCHILLA DEL TESORO,7900,2233.44,19.44812714,-99.05800764,Gustavo A. Madero,CDMX
CUCHILLA LA JOYA,7890,1981.83,19.45815035,-99.11104701,Gustavo A. Madero,CDMX
DEFENSORES DE LA REPUBLICA,7880,2760.982271,19.47524248,-99.14304472,Gustavo A. Madero,CDMX
DEL BOSQUE,7230,938.48,19.5447288,-99.14297822,Gustavo A. Madero,CDMX
DEL OBRERO,7440,1948.5,19.50021407,-99.09140176,Gustavo A. Madero,CDMX
DM NACIONAL,7495,2243.22,19.47560336,-99.09584475,Gustavo A. Madero,CDMX
EDUARDO MOLINA I (U HAB),7458,2530.28,19.48314849,-99.09104532,Gustavo A. Madero,CDMX
EDUARDO MOLINA II (U HAB),7469,2530.28,19.4831208,-99.09213066,Gustavo A. Madero,CDMX
EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB),7950,2252.96,19.46925544,-99.09210921,Gustavo A. Madero,CDMX
EJIDOS SAN JUAN DE ARAGON 2A SECCION (U HAB),7969,2177.42,19.46563988,-99.07704536,Gustavo A. Madero,CDMX
EL ARBOLILLO,7530,944.33,19.53632457,-99.14113351,Gustavo A. Madero,CDMX
EL ARBOLILLO 1 (U HAB),7240,1985.67,19.5300045,-99.14788151,Gustavo A. Madero,CDMX
EL ARBOLILLO 2 (U HAB),7280,1191.33,19.53410348,-99.14455693,Gustavo A. Madero,CDMX
EL ARBOLILLO 3 (U HAB),7280,1191.33,19.53789915,-99.14489577,Gustavo A. Madero,CDMX
EL CARMEN,7199,1005.168959,19.54312551,-99.13306381,Gustavo A. Madero,CDMX
EL COYOL (U HAB),7420,2518.686,19.48808983,-99.09008188,Gustavo A. Madero,CDMX
EL OLIVO,7950,1852.598503,19.47359728,-99.08664842,Gustavo A. Madero,CDMX
EMILIANO ZAPATA,7889,1981.83,19.46141462,-99.11778041,Gustavo A. Madero,CDMX
EMILIANO ZAPATA (AMPL),7860,1981.83,19.46398241,-99.10572586,Gustavo A. Madero,CDMX
ESTANZUELA,7360,2156.28987,19.49043178,-99.1097769,Gustavo A. Madero,CDMX
ESTRELLA,7810,2738.244745,19.47514581,-99.11673119,Gustavo A. Madero,CDMX
EX-ESCUELA DE TIRO,7960,1981.83,19.45323929,-99.09969012,Gustavo A. Madero,CDMX
FAJA DE ORO,7860,1981.83,19.46652134,-99.10524958,Gustavo A. Madero,CDMX
FERNANDO CASAS ALEMAN,7960,1981.83,19.45249999,-99.0959227,Gustavo A. Madero,CDMX
FERROCARRILERA INSURGENTES,7495,2530.28,19.48203461,-99.09236489,Gustavo A. Madero,CDMX
FOVISSSTE CUCHILLA (U HAB),7950,2252.96,19.47186652,-99.08755618,Gustavo A. Madero,CDMX
FOVISSSTE RIO DE GUADALUPE (U HAB),7950,2252.96,19.4726636,-99.08841237,Gustavo A. Madero,CDMX
FOVISSTE ARAGON (U HAB),7990,2759.89,19.45358754,-99.06142255,Gustavo A. Madero,CDMX
GABRIEL HERNANDEZ,7080,1433.711695,19.49829849,-99.09984059,Gustavo A. Madero,CDMX
GABRIEL HERNANDEZ (AMPL) I,7090,1438.198442,19.50324635,-99.09793418,Gustavo A. Madero,CDMX
GABRIEL HERNANDEZ (AMPL) II,7089,1435.25,19.50602632,-99.10378278,Gustavo A. Madero,CDMX
GENERAL FELIPE BERRIOZABAL,7220,585.93,19.55509025,-99.12824178,Gustavo A. Madero,CDMX
GERTRUDIS SANCHEZ 1A SECCION,7830,1981.83,19.46938421,-99.10435571,Gustavo A. Madero,CDMX
GERTRUDIS SANCHEZ 2A SECCION,7839,1981.83,19.46653563,-99.09982967,Gustavo A. Madero,CDMX
GERTRUDIS SANCHEZ 3A SECCION,7880,1981.83,19.46149318,-99.1017218,Gustavo A. Madero,CDMX
GRACIANO SANCHEZ,7210,985.96,19.55683048,-99.14727889,Gustavo A. Madero,CDMX
GRANJAS MODERNAS-SAN JUAN DE ARAGON (AMPL),7950,2243.22,19.47857588,-99.1050828,Gustavo A. Madero,CDMX
GUADALUPE INSURGENTES,7870,3159.191272,19.47344849,-99.13255061,Gustavo A. Madero,CDMX
GUADALUPE PROLETARIA,7760,2044.791965,19.52161808,-99.15554428,Gustavo A. Madero,CDMX
GUADALUPE PROLETARIA (AMPL),7680,1916.098023,19.52159041,-99.15212124,Gustavo A. Madero,CDMX
GUADALUPE TEPEYAC,7890,2950.008809,19.46746128,-99.12069072,Gustavo A. Madero,CDMX
