nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
PANTITLAN I,8100,4463,19.41663869,-99.06700054,Iztacalco,CDMX
PANTITLAN V,8100,6925,19.40632585,-99.06049633,Iztacalco,CDMX
FRACCIONAMIENTO COYUYA,8320,627,19.40045813,-99.11496305,Iztacalco,CDMX
EX EJIDOS DE LA MAGDALENA MIXIHUCA,8400,298,19.3932943,-99.08856992,Iztacalco,CDMX
AGRICOLA ORIENTAL I,8500,4809,19.40234107,-99.07669727,Iztacalco,CDMX
AGRICOLA ORIENTAL II,8500,2791,19.39468824,-99.07862517,Iztacalco,CDMX
AGRICOLA ORIENTAL III,8500,2487,19.39047869,-99.07563191,Iztacalco,CDMX
AGRICOLA ORIENTAL VIII,8500,2389,19.38781011,-99.06231984,Iztacalco,CDMX
CUCHILLA AGRICOLA ORIENTAL,8500,365,19.40423319,-99.08099744,Iztacalco,CDMX
AGRICOLA ORIENTAL IV,8510,2144,19.3998925,-99.06806985,Iztacalco,CDMX
AGRICOLA ORIENTAL V,8520,2601,19.39450845,-99.0690467,Iztacalco,CDMX
AGRICOLA ORIENTAL VI,8560,3475,19.39560413,-99.06197953,Iztacalco,CDMX
AGRICOLA ORIENTAL VII,8580,2179,19.38824367,-99.06817215,Iztacalco,CDMX
SAN FCO XICALTONGO,8619,455,19.39617725,-99.12502099,Iztacalco,CDMX
NUEVA STA ANITA,8630,621,19.39896853,-99.12684743,Iztacalco,CDMX
CUCHILLA RAMOS MILLAN,8730,1003,19.38743957,-99.09212465,Iztacalco,CDMX
JUVENTINO ROSAS II,8730,1222,19.39096716,-99.10604404,Iztacalco,CDMX
TLACOTAL RAMOS MILLAN,8730,1439,19.39551691,-99.10665128,Iztacalco,CDMX
AMPLIACION RAMOS MILLAN,8740,1883,19.38710699,-99.09786924,Iztacalco,CDMX
GABRIEL RAMOS MILLAN,8740,1374,19.39306173,-99.10169897,Iztacalco,CDMX
JUVENTINO ROSAS I,8740,1197,19.39256829,-99.11078451,Iztacalco,CDMX
MOSCO CHINAMPA,8760,209,19.38901249,-99.10146129,Iztacalco,CDMX
PICOS IZTACALCO 2A,8770,424,19.38831147,-99.10661618,Iztacalco,CDMX
VIADUCTO PIEDAD,8830,3098,19.40108553,-99.13154729,Iztacalco,CDMX
REFORMA IZTACCIHUATL SUR,8840,1411,19.3776493,-99.12860685,Iztacalco,CDMX
GRANJAS MEXICO II,8900,2829,19.39923232,-99.09432222,Iztacalco,CDMX
INFONAVIT IZTACALCO (U HAB) I,8900,3198,19.38550511,-99.10605858,Iztacalco,CDMX
REFORMA IZTACCIHUATL NORTE,8900,2001,19.38658583,-99.1298822,Iztacalco,CDMX
SAN MIGUEL,8900,1158,19.39192428,-99.11695229,Iztacalco,CDMX
SAN PEDRO IZTACALCO,8900,1114,19.39456946,-99.12910774,Iztacalco,CDMX
SANTIAGO NORTE,8900,767,19.39254948,-99.12427591,Iztacalco,CDMX
SANTIAGO SUR,8900,2153,19.38717751,-99.12512846,Iztacalco,CDMX
TLAZINTLA,8900,501,19.39652929,-99.11170486,Iztacalco,CDMX
LA CRUZ,8910,805,19.40332529,-99.11607147,Iztacalco,CDMX
LA ASUNCION,8920,403,19.38962095,-99.11860601,Iztacalco,CDMX
PICOS IZTACALCO 1-A,8920,417,19.38936144,-99.11483241,Iztacalco,CDMX
JARDINES TECMA,8930,250,19.38750962,-99.11697913,Iztacalco,CDMX
PICOS IZTACALCO 1B,8930,422,19.38886539,-99.11057709,Iztacalco,CDMX
RAMOS MILLAN BRAMADERO II,8930,1461,19.3925059,-99.09261107,Iztacalco,CDMX
SANTA CRUZ,8930,312,19.38828331,-99.12022337,Iztacalco,CDMX
RAMOS MILLAN BRAMADERO I,8000,1411,19.39206964,-99.09660962,Iztacalco,CDMX
CARLOS ZAPATA VELA,8040,1481,19.38234912,-99.09692812,Iztacalco,CDMX
EL RODEO,8510,951,19.39320139,-99.08526322,Iztacalco,CDMX
ZAPOTLA,8610,1501,19.39608029,-99.12097177,Iztacalco,CDMX
LOS REYES,8620,1479,19.39671926,-99.11731788,Iztacalco,CDMX
INFONAVIT IZTACALCO (U HAB) II,8900,2608,19.38238009,-99.10637599,Iztacalco,CDMX
MILITAR MARTE,8830,2485,19.38091967,-99.12864458,Iztacalco,CDMX
CAMPAMENTO 2 DE OCTUBRE II,8930,1332,19.3849573,-99.11947195,Iztacalco,CDMX
CAMPAMENTO 2 DE OCTUBRE I,8930,1771,19.38478526,-99.11393405,Iztacalco,CDMX
PANTITLAN II,8100,2874,19.41680358,-99.06043665,Iztacalco,CDMX
SANTA ANITA,8300,2790,19.40144995,-99.12087519,Iztacalco,CDMX
PANTITLAN IV,8100,5726,19.40833584,-99.06649631,Iztacalco,CDMX
GRANJAS MEXICO I,8400,3921,19.40132045,-99.1081694,Iztacalco,CDMX
PANTITLAN III,8100,3249,19.41045627,-99.07179252,Iztacalco,CDMX
INPI PICOS,8760,706,19.3877706,-99.10307932,Iztacalco,CDMX
