nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
REAL DEL MORAL (FRACC),9030,3297.644003,19.38993716,-99.08217841,Iztapalapa,CDMX
SAN JOSE (BARR),9040,2544.771418,19.36703746,-99.09280693,Iztapalapa,CDMX
SECTOR POPULAR,9060,2240.109342,19.36646679,-99.11753713,Iztapalapa,CDMX
DR ALFONSO ORTIZ TIRADO,9090,3396.169467,19.38717101,-99.07811019,Iztapalapa,CDMX
HEROES DE CHURUBUSCO,9099,2339.17916,19.36071514,-99.1181309,Iztapalapa,CDMX
JUAN ESCUTIA I,9100,2495.760804,19.39585098,-99.05020867,Iztapalapa,CDMX
CONCORDIA ZARAGOZA (U HAB),9140,2974.280443,19.36778953,-99.00777143,Iztapalapa,CDMX
SAN LORENZO XICOTENCATL (PBLO),9140,1254.265714,19.38380529,-99.02707329,Iztapalapa,CDMX
TEXCOCO EL SALADO,9140,1199.91,19.37446712,-99.005225,Iztapalapa,CDMX
VICENTE GUERRERO SUPER MANZANA 1 (U HAB),9200,1702.71,19.36235415,-99.0635495,Iztapalapa,CDMX
CABEZA DE JUAREZ I (U HAB),9208,1309.46,19.38497502,-99.04409214,Iztapalapa,CDMX
9 1/2 - FRANCISCO VILLA (EJERCITO CONSTITUCIONALISTA) (CONJ HAB),9220,1309.46,19.37741407,-99.04984904,Iztapalapa,CDMX
ALVARO OBREGON,9220,1309.46,19.37772922,-99.04052654,Iztapalapa,CDMX
CHINAMPAC DE JUAREZ I,9220,1309.46,19.37732466,-99.05655634,Iztapalapa,CDMX
"EJTO CONSTITUCIONALISTA, SUPERMANZANA III (U HAB)",9220,1309.46,19.38228943,-99.05305201,Iztapalapa,CDMX
GUELATAO DE JUAREZ II (U HAB),9220,1309.46,19.38405911,-99.0447877,Iztapalapa,CDMX
CHINAMPAC DE JUAREZ II,9225,1309.46,19.37686664,-99.0506229,Iztapalapa,CDMX
ROTARIOS (U HAB),9226,2585.807714,19.38729356,-99.0407716,Iztapalapa,CDMX
ANTORCHA POPULAR I (U HAB),9227,1309.46,19.38371266,-99.04310581,Iztapalapa,CDMX
EJTO CONSTITUCIONALISTA II ( U HAB),9227,1309.46,19.38567532,-99.04362879,Iztapalapa,CDMX
TEPALCATES II,9227,2386.28792,19.39236261,-99.05588845,Iztapalapa,CDMX
CABEZA DE JUAREZ II (U HAB),9230,1309.46,19.38469148,-99.04241537,Iztapalapa,CDMX
CABEZA DE JUAREZ III (U HAB),9230,1309.46,19.38312784,-99.04165628,Iztapalapa,CDMX
EJTO CONSTITUCIONALISTA,9230,1332.155159,19.3804443,-99.05441796,Iztapalapa,CDMX
"EJTO CONSTITUCIONALISTA, SUPERMANZANA I ( U HAB)",9230,1309.46,19.3870737,-99.04907489,Iztapalapa,CDMX
ERMITA ZARAGOZA (U HAB) II,9230,1880.56,19.36748378,-98.99687956,Iztapalapa,CDMX
GUELATAO DE JUAREZ I (U HAB),9230,1838.84,19.38660336,-99.04263572,Iztapalapa,CDMX
IGNACIO ZARAGOZA (U HAB),9230,1393.786018,19.38512483,-99.04032271,Iztapalapa,CDMX
