nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
INDEPENDENCIA BATAN NORTE (U HAB),10100,3559.54,19.33508554,-99.20980105,Magdalena Contreras,CDMX
INDEPENDENCIA BATAN SUR (U HAB),10100,3656.16363,19.33272654,-99.21212663,Magdalena Contreras,CDMX
BATAN VIEJO (EL MAESTRO),10200,2978.95,19.33580796,-99.21232478,Magdalena Contreras,CDMX
INDEPENDENCIA SAN RAMON (U HAB),10200,3564.408073,19.33240106,-99.21806712,Magdalena Contreras,CDMX
INFONAVIT (U HAB),10200,3239.331875,19.33660631,-99.20842494,Magdalena Contreras,CDMX
PUENTE SIERRA,10200,4343.265,19.33111026,-99.21222878,Magdalena Contreras,CDMX
LA MALINCHE,10310,2209.94,19.32325945,-99.24159075,Magdalena Contreras,CDMX
LOS PADRES,10340,1287.255617,19.31975131,-99.24840481,Magdalena Contreras,CDMX
EL TANQUE,10350,1026.025865,19.32504622,-99.25129735,Magdalena Contreras,CDMX
LAS CRUCES,10360,801.4336467,19.31953467,-99.25490296,Magdalena Contreras,CDMX
LOMAS DE SAN BERNABE (AMPL),10369,583.5530545,19.30829602,-99.26939189,Magdalena Contreras,CDMX
ATACAXCO,10379,1156.329747,19.31521758,-99.25143431,Magdalena Contreras,CDMX
VISTA HERMOSA,10379,1226.31,19.31279191,-99.25337822,Magdalena Contreras,CDMX
BARROS SIERRA,10380,1337.92968,19.3167322,-99.24625028,Magdalena Contreras,CDMX
CUAUHTEMOC,10380,2194.08,19.31999531,-99.24313006,Magdalena Contreras,CDMX
SAN BERNABE OCOTEPEC (PBLO),10600,1058.362764,19.31582114,-99.25802773,Magdalena Contreras,CDMX
LAS PALMAS,10610,1133.729284,19.3133558,-99.25057341,Magdalena Contreras,CDMX
LOMAS DE SAN BERNABE,10610,1333.354996,19.31220868,-99.26387074,Magdalena Contreras,CDMX
HUAYATLA,10620,1338.97,19.30789738,-99.26247352,Magdalena Contreras,CDMX
EL OCOTAL,10640,796.9492647,19.30283703,-99.25839423,Magdalena Contreras,CDMX
POTRERILLO (AMPL),10640,1308.628361,19.30746534,-99.25927911,Magdalena Contreras,CDMX
EL ROSAL,10650,1355.4,19.30986922,-99.25040992,Magdalena Contreras,CDMX
EL ERMITAO,10660,985.3832826,19.30262757,-99.26523375,Magdalena Contreras,CDMX
LA CRUZ,10810,1921.640196,19.30856998,-99.23450135,Magdalena Contreras,CDMX
LA GUADALUPE,10820,1972.80906,19.30658443,-99.23171213,Magdalena Contreras,CDMX
LAS CALLES (BARR),10840,2185.38,19.30362622,-99.23392483,Magdalena Contreras,CDMX
SAN FRANCISCO (BARR),10850,2091.411399,19.31222914,-99.23669754,Magdalena Contreras,CDMX
TIERRA UNIDA,10860,1338.97,19.30325048,-99.26911651,Magdalena Contreras,CDMX
CAZULCO (BARR),10900,178.05,19.29458555,-99.25489773,Magdalena Contreras,CDMX
SANTA TERESA,10900,2422.172579,19.30966616,-99.22832984,Magdalena Contreras,CDMX
SUBESTACION,10900,178.05,19.29259133,-99.24402842,Magdalena Contreras,CDMX
BARRANCA SECA,10910,1868.682436,19.30634867,-99.23931895,Magdalena Contreras,CDMX
EL TORO,10910,1355.4,19.31206007,-99.24619782,Magdalena Contreras,CDMX
LA MAGDALENA ATLITIC (PBLO),10910,1559.45,19.30290208,-99.24435732,Magdalena Contreras,CDMX
PUEBLO NUEVO ALTO,10910,1931.638593,19.304243,-99.25302857,Magdalena Contreras,CDMX
PUEBLO NUEVO BAJO,10910,1948.695214,19.30655345,-99.24538872,Magdalena Contreras,CDMX
SAN FRANCISCO,10910,2081.39685,19.31200779,-99.23245952,Magdalena Contreras,CDMX
SAN NICOLAS TOTOLAPAN (PBLO),10910,1406.04294,19.2973477,-99.24311461,Magdalena Contreras,CDMX
LAS HUERTAS,10920,1462.26,19.29567349,-99.23738476,Magdalena Contreras,CDMX
SAN BARTOLO AMEYALCO,10010,1118.219238,19.32691537,-99.24454072,Magdalena Contreras,CDMX
SAN JERONIMO ACULCO - LIDICE (PBLO),10200,4561.399853,19.32410215,-99.22509303,Magdalena Contreras,CDMX
SAN NICOLAS TOTOLAPAN,10900,1370.02807,19.29910113,-99.23633066,Magdalena Contreras,CDMX
PEDREGAL 2 (CONJ HAB),10720,1914.67,19.30744457,-99.22888259,Magdalena Contreras,CDMX
HEROES DE PADIERNA,10700,5544.133984,19.3131048,-99.22259918,Magdalena Contreras,CDMX
LA CONCEPCION,10830,1409.243438,19.30211736,-99.23420583,Magdalena Contreras,CDMX
PLAZUELA DEL PEDREGAL,10840,2174.671579,19.30346557,-99.23229964,Magdalena Contreras,CDMX
LA CARBONERA,10640,844.3346507,19.30084916,-99.25608576,Magdalena Contreras,CDMX
TIERRA COLORADA,10926,884.74,19.27176982,-99.24421342,Magdalena Contreras,CDMX
LOMAS QUEBRADAS,10000,1935.814162,19.31527542,-99.24066876,Magdalena Contreras,CDMX
POTRERILLO,10620,1340.392709,19.30687752,-99.25312343,Magdalena Contreras,CDMX
Total general,16020,2564.398692,19.31558365,-99.23899667,Magdalena Contreras,CDMX
