nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
MOLINO DEL REY,11040,6411.944091,19.42349073,-99.20328567,Miguel Hidalgo,CDMX
LOMAS VIRREYES (LOMAS DE CHAPULTEPEC),11100,9965.851816,19.41770202,-99.21005997,Miguel Hidalgo,CDMX
SAN LORENZO TLALTENANGO,11210,1375.19,19.46767915,-99.20918306,Miguel Hidalgo,CDMX
PERIODISTA,11220,6002.649765,19.44805887,-99.21876781,Miguel Hidalgo,CDMX
TORRES TOREO,11260,2970.45,19.45720233,-99.21272251,Miguel Hidalgo,CDMX
SAN JOAQUIN,11270,2548.79,19.45380357,-99.20877476,Miguel Hidalgo,CDMX
10 DE ABRIL,11289,2947.74,19.44872253,-99.20877488,Miguel Hidalgo,CDMX
HUICHAPAN,11290,3644.992067,19.46029105,-99.19638565,Miguel Hidalgo,CDMX
IGNACIO MANUEL ALTAMIRANO,11290,2163.57,19.46325074,-99.19674348,Miguel Hidalgo,CDMX
TORRE BLANCA (AMPL),11290,2970.45,19.45545127,-99.20000314,Miguel Hidalgo,CDMX
ANAHUAC MARIANO ESCOBEDO,11320,4507.590354,19.44456286,-99.1813692,Miguel Hidalgo,CDMX
MARINA NACIONAL (U HAB),11320,3682.64,19.44647789,-99.17953062,Miguel Hidalgo,CDMX
TLAXPANA,11370,3682.64,19.44084475,-99.16951088,Miguel Hidalgo,CDMX
ANGEL ZIMBRON,11410,3567.75,19.46283957,-99.1890056,Miguel Hidalgo,CDMX
NUEVA ARGENTINA (ARGENTINA PONIENTE),11410,2962.272522,19.45808632,-99.20710242,Miguel Hidalgo,CDMX
SAN DIEGO OCOYOACAC,11410,2354.962986,19.46223627,-99.1926465,Miguel Hidalgo,CDMX
TORRE BLANCA,11410,3715.459819,19.4575345,-99.19464946,Miguel Hidalgo,CDMX
UN HOGAR PARA NOSOTROS,11410,2437.4,19.45024698,-99.17032784,Miguel Hidalgo,CDMX
NEXTITLA,11420,2437.4,19.45624053,-99.17387396,Miguel Hidalgo,CDMX
PLUTARCO ELIAS CALLES,11420,2437.4,19.45587981,-99.16858922,Miguel Hidalgo,CDMX
