nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
CUITLAHUAC,13000,397.67,19.26082962,-99.01766111,Tlahuac,CDMX
ATOTOLCO,13040,290.77,19.26672912,-99.02408578,Tlahuac,CDMX
SAN JOSE,13040,964.22,19.27605538,-98.99586165,Tlahuac,CDMX
LA HABANA,13050,964.22,19.26796623,-98.99572608,Tlahuac,CDMX
QUIAHUATLA,13090,964.22,19.26040418,-99.00377252,Tlahuac,CDMX
LA JOYITA,13150,204.78,19.31275679,-98.97096817,Tlahuac,CDMX
LA MESA,13150,204.78,19.31581625,-98.968008,Tlahuac,CDMX
SANTA CATARINA (AMPL),13150,810.6362937,19.31877226,-98.96229832,Tlahuac,CDMX
TEOZOMA,13150,204.78,19.31452813,-98.96912649,Tlahuac,CDMX
SANTA CATARINA YECAHUIZOTL (PBLO),13180,792.2435523,19.30989999,-98.96823781,Tlahuac,CDMX
SANTA CECILIA,13210,1019.819829,19.27932222,-99.00602359,Tlahuac,CDMX
LA TURBA,13270,1619.3,19.29559656,-99.05813864,Tlahuac,CDMX
VILLA CENTROAMERICANA (U HAB),13278,1531.94,19.28303367,-99.05542671,Tlahuac,CDMX
VILLAS DE LOS TRABAJADORES (GDF) (U HAB),13278,1531.94,19.28136169,-99.05190326,Tlahuac,CDMX
GRANJAS CABRERA,13280,1219.648651,19.30029778,-99.06276209,Tlahuac,CDMX
DEL MAR NORTE,13300,1308.37534,19.29320311,-99.05673239,Tlahuac,CDMX
DEL MAR SUR,13300,1301.128768,19.28861111,-99.05999409,Tlahuac,CDMX
LAS ARBOLEDAS,13300,1539.977465,19.30897027,-99.0522334,Tlahuac,CDMX
LA ESTACION,13319,1147.844784,19.31126259,-99.0417124,Tlahuac,CDMX
UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I,13319,1565.426888,19.30651048,-99.04829775,Tlahuac,CDMX
UNIDADES HABITACIONALES DE SANTA ANA PONIENTE II,13319,1448.63272,19.30320304,-99.04278046,Tlahuac,CDMX
LA NOPALERA,13320,1542.187264,19.29803857,-99.05286926,Tlahuac,CDMX
MIGUEL HIDALGO OTE,13360,1531.94,19.29249965,-99.04339803,Tlahuac,CDMX
TEMPILULI,13360,397.67,19.28165553,-99.02735533,Tlahuac,CDMX
3 DE MAYO,13429,615.5569912,19.29716475,-98.99550993,Tlahuac,CDMX
TIERRA Y LIBERTAD,13429,964.22,19.26107146,-99.00682688,Tlahuac,CDMX
SELENE 2da SECC,13430,968.5729494,19.28495134,-99.00483565,Tlahuac,CDMX
SANTIAGO ZAPOTITLAN (PBLO),13440,931.7835304,19.29997196,-99.03499009,Tlahuac,CDMX
LOPEZ PORTILLO,13450,816.070998,19.30246197,-99.02114047,Tlahuac,CDMX
LOS OLIVOS,13450,1416.489459,19.30135062,-99.05897125,Tlahuac,CDMX
OJO DE AGUA,13450,1093.15088,19.289271,-99.01258398,Tlahuac,CDMX
SELENE (AMPL),13450,964.22,19.28661796,-98.99450584,Tlahuac,CDMX
EL TRIANGULO,13460,744.7805306,19.28593392,-99.01465245,Tlahuac,CDMX
SELENE 1a SECC,13460,965.8234579,19.29245165,-99.00280243,Tlahuac,CDMX
LA CONCHITA II,13509,1538.257798,19.29009293,-99.03250078,Tlahuac,CDMX
FRANCISCO VILLA,13529,822.85,19.24836773,-99.00049446,Tlahuac,CDMX
TIERRA BLANCA,13549,721.9337692,19.23867388,-99.00330243,Tlahuac,CDMX
LA CONCHITA I,13600,1540.871987,19.28986281,-99.03860178,Tlahuac,CDMX
SAN FRANCISCO TLALTENCO (PBLO),13600,1031.974865,19.29606173,-99.01735317,Tlahuac,CDMX
PEA ALTA,13640,697.9574807,19.23615067,-99.00147071,Tlahuac,CDMX
SAN MIGUEL ZAPOTITLA,13700,1144.494962,19.30686803,-99.03904985,Tlahuac,CDMX
TEPANTITLAMILCO,13700,390.25375,19.21950188,-98.97110152,Tlahuac,CDMX
EMILIANO ZAPATA 1A,13720,653.5511261,19.21090578,-98.97197001,Tlahuac,CDMX
EMILIANO ZAPATA 2A,13720,439.94,19.2074232,-98.96834519,Tlahuac,CDMX
SAN NICOLAS TETELCO (PBLO),13730,392.4294693,19.21689603,-98.97286085,Tlahuac,CDMX
TEZONTITLA-ZOMPANTITLA,13900,727.6731148,19.29646975,-99.00284641,Tlahuac,CDMX
MIGUEL HIDALGO,13200,1540.851955,19.29458419,-99.04832627,Tlahuac,CDMX
LA DRAGA,13273,397.67,19.28409484,-99.04313424,Tlahuac,CDMX
JARDINES DEL LLANO-U.H. VILLA TLATEMPA,13550,820.4594302,19.23158026,-98.99170479,Tlahuac,CDMX
AGRICOLA METROPOLITANA,13280,1531.94,19.29134347,-99.05286679,Tlahuac,CDMX
SAN JUAN IXTAYOPAN (PBLO),13500,820.4699076,19.24256498,-98.99652606,Tlahuac,CDMX
SAN PEDRO TLAHUAC (PBLO),13120,923.8342529,19.26892762,-99.00453885,Tlahuac,CDMX
JAIME TORRES BODET,13530,553.3607859,19.23078031,-98.99866339,Tlahuac,CDMX
EL ROSARIO,13540,673.1385915,19.2416746,-99.00457,Tlahuac,CDMX
SAN ANDRES MIXQUIC (PBLO),13600,487.8926467,19.22515939,-98.96190215,Tlahuac,CDMX
