nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
AGUILERA,2900,2612.110723,19.47280797,-99.15586832,Azcapotzalco,CDMX
ALDANA,2900,1932.008517,19.47078805,-99.14998174,Azcapotzalco,CDMX
AMPLIACION PETROLERA,2460,2353.03,19.48294324,-99.1948792,Azcapotzalco,CDMX
ANGEL ZIMBRON,2080,2753.097422,19.46740333,-99.18908268,Azcapotzalco,CDMX
ARENAL,2960,2318.07,19.46494795,-99.15210624,Azcapotzalco,CDMX
CENTRO DE AZCAPOTZALCO,2000,3111.17,19.48092136,-99.18624676,Azcapotzalco,CDMX
CLAVERIA,2030,2650.011689,19.46602424,-99.18193702,Azcapotzalco,CDMX
COLTONGO,2230,2467.22,19.48165523,-99.15339524,Azcapotzalco,CDMX
COSMOPOLITA,2650,2651.236543,19.47482126,-99.16325106,Azcapotzalco,CDMX
COSMOPOLITA (AMPL),2290,2729.530538,19.47230245,-99.16080093,Azcapotzalco,CDMX
CRUZ ROJA TEPANTONGO (U HAB),2120,2541.94,19.50025014,-99.18482509,Azcapotzalco,CDMX
CUITLHUAC 1 Y 2 (U HAB),2500,4725.731474,19.47215726,-99.16758579,Azcapotzalco,CDMX
CUITLHUAC 3 Y 4 (U HAB),2500,4319.689222,19.47237535,-99.17197288,Azcapotzalco,CDMX
DEL GAS,2900,1832.362242,19.47048187,-99.15920632,Azcapotzalco,CDMX
DEL GAS (AMPL),2790,1832.42,19.46605672,-99.15755801,Azcapotzalco,CDMX
DEL MAESTRO,2000,2213.86,19.48246656,-99.18216967,Azcapotzalco,CDMX
DEL RECREO,2000,2510.09,19.47314369,-99.18414864,Azcapotzalco,CDMX
DEMET (U HAB),2020,2541.94,19.48751056,-99.18095026,Azcapotzalco,CDMX
ECOLOGICA NOVEDADES IMPACTO (U HAB),2000,2541.94,19.50799555,-99.19046228,Azcapotzalco,CDMX
EL JAGUEY-ESTACION PANTACO,2000,2535.112564,19.48587584,-99.17255979,Azcapotzalco,CDMX
EL ROSARIO A (U HAB),2100,3185.17,19.51109069,-99.20721938,Azcapotzalco,CDMX
EL ROSARIO B (U HAB),2000,3140.01665,19.5123689,-99.20196303,Azcapotzalco,CDMX
EL ROSARIO C (U HAB),2100,3192.865228,19.50700425,-99.20353601,Azcapotzalco,CDMX
EUZKADI,2660,2581.3,19.47730734,-99.16031088,Azcapotzalco,CDMX
EX-HACIENDA EL ROSARIO,2000,2343.315789,19.49621683,-99.20978684,Azcapotzalco,CDMX
FERRERIA,2230,2280.012429,19.50162676,-99.17389475,Azcapotzalco,CDMX
FERRERIA (U HAB),2230,2364.84,19.49880974,-99.17683969,Azcapotzalco,CDMX
FRANCISCO VILLA (U HAB),2400,2596.924153,19.4965325,-99.20516045,Azcapotzalco,CDMX
FUENTES DE AZCAPOTZALCO-PARQUES DE AZCAPOTZALCO (U HAB),2000,2748.99,19.47504567,-99.18971471,Azcapotzalco,CDMX
HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,2800,2883.203062,19.46833087,-99.1681288,Azcapotzalco,CDMX
HOGARES FERROCARRILEROS (U HAB),2500,4297.67,19.47357233,-99.16540783,Azcapotzalco,CDMX
