nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
ROMA NORTE III,6500,7024.041469,19.41481706,-99.16028556,Cuauhtémoc,CDMX
SAN RAFAEL II,6470,5431.791604,19.43840397,-99.16450353,Cuauhtémoc,CDMX
GUERRERO III,6300,4347.390421,19.44266827,-99.14598608,Cuauhtémoc,CDMX
CENTRO III,6020,5409.102184,19.43726674,-99.12801597,Cuauhtémoc,CDMX
DOCTORES II,6720,4774.098325,19.41983759,-99.15087846,Cuauhtémoc,CDMX
TABACALERA,6030,8054.472579,19.43604033,-99.15364071,Cuauhtémoc,CDMX
ATLAMPA,6450,4047.926597,19.4580646,-99.15545556,Cuauhtémoc,CDMX
CENTRO II,6010,5370.512052,19.4397953,-99.12828031,Cuauhtémoc,CDMX
CENTRO I,6000,5255.666457,19.44174293,-99.13152682,Cuauhtémoc,CDMX
CENTRO IV,6000,7308.020553,19.43341577,-99.13713763,Cuauhtémoc,CDMX
CENTRO V,6000,8564.346974,19.42751561,-99.13711908,Cuauhtémoc,CDMX
CENTRO VII,6000,6309.28277,19.42988122,-99.12809134,Cuauhtémoc,CDMX
MORELOS I,6000,3866.667324,19.44984279,-99.12983248,Cuauhtémoc,CDMX
OBRERA I,6000,4239.503041,19.41932771,-99.13959958,Cuauhtémoc,CDMX
OBRERA IV,6000,3956.408185,19.41039742,-99.13805405,Cuauhtémoc,CDMX
GUERRERO IV,6010,4997.867755,19.4410683,-99.14187009,Cuauhtémoc,CDMX
MORELOS II,6020,3818.45,19.44722814,-99.12656272,Cuauhtémoc,CDMX
SANTA MARIA LA RIBERA II,6030,4678.025079,19.44956766,-99.15832461,Cuauhtémoc,CDMX
SANTA MARIA INSURGENTES,6040,3915.68,19.46213004,-99.14753601,Cuauhtémoc,CDMX
CENTRO VI,6060,6738.990224,19.42483596,-99.13482034,Cuauhtémoc,CDMX
CENTRO VIII,6080,7461.260112,19.43066694,-99.14657003,Cuauhtémoc,CDMX
