nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
SAN LORENZO TLACOYUCAN (PBLO),12500,349.7243564,19.17615028,-99.03236935,Milpa Alta,CDMX
SAN AGUSTIN OHTENCO (PBLO),12600,450.9285185,19.1936118,-99.01209346,Milpa Alta,CDMX
SAN BARTOLOME XICOMULCO (PBLO),12600,282.6011526,19.20604782,-99.06855586,Milpa Alta,CDMX
VILLA MILPA ALTA (PBLO),12700,650.2363138,19.19223946,-99.02348393,Milpa Alta,CDMX
SAN JERONIMO MIACATLAN (PBLO),12800,585.2124186,19.1919577,-99.00603845,Milpa Alta,CDMX
SAN JUAN TEPENAHUAC (PBLO),12800,294.9927586,19.18792495,-98.99509822,Milpa Alta,CDMX
SANTA ANA TLACOTENCO (PBLO),12940,410.7888596,19.17467132,-98.99756864,Milpa Alta,CDMX
SAN ANTONIO TECOMITL (PBLO),12100,670.6858363,19.2181575,-98.99447297,Milpa Alta,CDMX
SAN FRANCISCO TECOXPA (PBLO),12700,498.9625882,19.19659512,-99.00494854,Milpa Alta,CDMX
SAN PEDRO ATOCPAN (PBLO),12200,524.3812246,19.20121106,-99.04972581,Milpa Alta,CDMX
SAN SALVADOR CUAUHTENCO (PBLO),12300,419.3317143,19.1922759,-99.09067351,Milpa Alta,CDMX
