nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
EL ZACATON,14734,274.53,19.26592297,-99.24029244,Tlalpan,CDMX
VILLA OLIMPICA LIBERADOR MIGUEL HIDALGO (U HAB),14020,10689.20628,19.29699119,-99.18709909,Tlalpan,CDMX
ISIDRO FABELA II (ORIENTE),14049,2036.951341,19.300506,-99.17042535,Tlalpan,CDMX
PUEBLO QUIETO,14050,2840.89931,19.29909415,-99.16042165,Tlalpan,CDMX
SAN PEDRO APOSTOL (BARR),14070,2252.085895,19.29610104,-99.173931,Tlalpan,CDMX
ZAPOTE-LUIS DONALDO COLOSIO (U HABS),14070,3252.847966,19.3001705,-99.17860711,Tlalpan,CDMX
SECCION XVI,14080,2953.798202,19.29150145,-99.15745976,Tlalpan,CDMX
NIO JESUS (BARR),14090,2450,19.28617194,-99.16163805,Tlalpan,CDMX
EMILIO PORTES GIL PEMEX PICACHO (U HAB),14200,7213.66,19.30169256,-99.21958146,Tlalpan,CDMX
CHICHICASPATL,14201,731.67,19.27566121,-99.24326639,Tlalpan,CDMX
PARQUES DEL PEDREGAL,14210,9396.702381,19.30038959,-99.19193311,Tlalpan,CDMX
CUCHILLA DE PADIERNA,14240,1053.035881,19.27605,-99.2186031,Tlalpan,CDMX
LOMAS DE PADIERNA (AMPL),14240,4766.74,19.29699623,-99.22009923,Tlalpan,CDMX
LOMAS DEL PEDREGAL,14240,996.73,19.27389664,-99.21831174,Tlalpan,CDMX
CONJUNTO HABITACIONAL PEDREGAL DEL LAGO,14260,4952.23,19.30905969,-99.22446628,Tlalpan,CDMX
LOMAS DE  PADIERNA II,14260,1703.708334,19.29337288,-99.22101222,Tlalpan,CDMX
CONDOMINIO DEL BOSQUE (FRACC)-BOSQUE DE TLALPAN,14266,6765.439567,19.29354454,-99.19028145,Tlalpan,CDMX
ROMULO SANCHEZ-SAN FERNANDO (BARR)-PEA POBRE,14269,3247.690283,19.29696031,-99.17902992,Tlalpan,CDMX
POPULAR STA TERESA,14280,1699.51,19.30104522,-99.22410153,Tlalpan,CDMX
HEROES DE PADIERNA I,14300,1427.1,19.28575792,-99.22412312,Tlalpan,CDMX
BELISARIO DOMINGUEZ,14310,2450,19.29028594,-99.15590122,Tlalpan,CDMX
ISIDRO  FABELA (AMPL),14330,2023.68,19.29806347,-99.17132726,Tlalpan,CDMX
