nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
VALLE GOMEZ,15220,3020.98,19.45689246,-99.11950353,Venustiano Carranza,CDMX
MICHOACANA,15250,3020.98,19.44696192,-99.11557088,Venustiano Carranza,CDMX
MICHOACANA (AMPL),15250,3020.98,19.4482982,-99.11308566,Venustiano Carranza,CDMX
JANITZIO,15270,3031.528168,19.44743444,-99.11751503,Venustiano Carranza,CDMX
VALENTIN GOMEZ FARIAS,15290,1985.321379,19.41616435,-99.09351301,Venustiano Carranza,CDMX
10 DE MAYO,15299,3386.010092,19.43364251,-99.117868,Venustiano Carranza,CDMX
EMILIO CARRANZA,15300,3340.517509,19.4492032,-99.12045137,Venustiano Carranza,CDMX
POPULAR RASTRO,15300,3040.667574,19.45237958,-99.1197982,Venustiano Carranza,CDMX
FELIPE ANGELES,15310,3020.98,19.45312572,-99.112434,Venustiano Carranza,CDMX
AZTECA,15320,3020.98,19.4383333,-99.10792059,Venustiano Carranza,CDMX
TRES MOSQUETEROS,15340,3020.98,19.44075623,-99.106519,Venustiano Carranza,CDMX
VENUSTIANO CARRANZA (AMPL),15340,3020.98,19.4441314,-99.10502832,Venustiano Carranza,CDMX
20 DE NOVIEMBRE (AMPL),15360,3020.98,19.44182948,-99.11404575,Venustiano Carranza,CDMX
PROGRESISTA,15370,3020.98,19.43619728,-99.10879432,Venustiano Carranza,CDMX
7 DE JULIO,15390,3062.297322,19.43253825,-99.1136382,Venustiano Carranza,CDMX
PENITENCIARIA (AMPL),15390,3257.881364,19.43643484,-99.11850559,Venustiano Carranza,CDMX
SIMON  BOLIVAR,15420,3020.98,19.44833359,-99.09741551,Venustiano Carranza,CDMX
AQUILES SERDAN,15450,3020.98,19.44707773,-99.09192395,Venustiano Carranza,CDMX
DAMIAN CARMONA,15450,3020.98,19.4430467,-99.10270968,Venustiano Carranza,CDMX
REVOLUCION,15460,3020.98,19.43929921,-99.10404467,Venustiano Carranza,CDMX
MIGUEL HIDALGO,15470,3020.98,19.43602936,-99.10642377,Venustiano Carranza,CDMX
VENUSTIANO CARRANZA,15500,3020.98,19.43935831,-99.11131342,Venustiano Carranza,CDMX
NICOLAS BRAVO,15520,3105.115313,19.45407608,-99.12345574,Venustiano Carranza,CDMX
PENSADOR MEXICANO I,15520,3020.98,19.44420633,-99.08334201,Venustiano Carranza,CDMX
PENSADOR MEXICANO II,15520,3020.98,19.44160859,-99.0888214,Venustiano Carranza,CDMX
MOCTEZUMA 1A SECCION,15530,2049.315776,19.42808006,-99.10609407,Venustiano Carranza,CDMX
MOCTEZUMA 2A SECCION I,15540,2740.231865,19.43758154,-99.09442926,Venustiano Carranza,CDMX
PRIMERO DE MAYO,15540,3020.98,19.44565721,-99.10131936,Venustiano Carranza,CDMX
SANTA CRUZ AVIACION,15540,3229.051488,19.42260511,-99.09778523,Venustiano Carranza,CDMX
ROMERO RUBIO,15550,3020.98,19.44258244,-99.09660133,Venustiano Carranza,CDMX
MOCTEZUMA 2A SECCION IV,15600,2739.040868,19.4265789,-99.09792476,Venustiano Carranza,CDMX
PEON DE LOS BAOS,15620,3028.600715,19.43820337,-99.08346041,Venustiano Carranza,CDMX
EL ARENAL PTO AEREO (FRACC),15640,2872.23,19.42887942,-99.06099906,Venustiano Carranza,CDMX
