nombre_col,num_code,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado,no_airbnb,no_starbucks,airbnb_mean_price,flag_airbnb,flag_starbucks,valor_unitario_pred
19 DE MAYO,1210,1404.4,19.36164923,-99.25353029,Álvaro Obregón,CDMX,19,6,756.6842105263158,1,1,4746.374323369204
1RA VICTORIA,1150,2061.619503,19.38668603,-99.20198527,Álvaro Obregón,CDMX,29,0,1033.3103448275865,1,0,1602.6551919169901
1RA VICTORIA SECCION BOSQUES,1150,1788.36,19.38782563,-99.1974462,Álvaro Obregón,CDMX,74,4,944.6486486486486,1,1,3761.361498908222
2DA  JALALPA TEPITO (AMPL),1260,1063.626266,19.37507971,-99.23373559,Álvaro Obregón,CDMX,3,0,506.3333333333333,1,0,1572.6031504409711
2DA EL PIRUL (AMPL),1210,1320.71,19.37974524,-99.24223092,Álvaro Obregón,CDMX,11,0,878.5454545454545,1,0,1581.1489907831556
ABRAHAM GONZALEZ,1160,2010.8,19.38652643,-99.20472555,Álvaro Obregón,CDMX,12,0,672.25,1,0,1583.06083187372
ACUEDUCTO,1100,1547.353163,19.39796907,-99.20539044,Álvaro Obregón,CDMX,8,0,638.875,1,0,1578.2782819017739
ACUILOTLA,1539,1684.654748,19.35977638,-99.24364567,Álvaro Obregón,CDMX,23,0,498.5652173913044,1,0,1597.0986457883905
AGUILAS 3ER PARQUE,1750,1992.200201,19.35259597,-99.21996603,Álvaro Obregón,CDMX,12,0,1425.0833333333333,1,0,1580.5487933910404
AGUILAS PILARES,1010,2611.596,19.35633559,-99.20358708,Álvaro Obregón,CDMX,22,2,898.7727272727273,1,1,2646.2167225496814
ALCANTARILLA,1700,2167.62,19.33913407,-99.24593017,Álvaro Obregón,CDMX,32,2,790.5,1,1,2658.812792146493
ALFALFAR,1410,2582.93,19.37565654,-99.20050881,Álvaro Obregón,CDMX,24,0,1049.375,1,0,1596.4841939971711
ALFONSO XIII,1080,2591.239467,19.37663796,-99.1950567,Álvaro Obregón,CDMX,75,2,814.9333333333333,1,1,2711.340849463272
ALPES,1010,5101.801534,19.36014219,-99.19400993,Álvaro Obregón,CDMX,95,4,1378.7684210526315,1,1,3785.6059907575295
ALPES (AMPL),1010,2462.18,19.35650852,-99.21026543,Álvaro Obregón,CDMX,12,1,803.25,1,1,2108.46219358654
ARBOLEDAS POLITOCO,1150,1510.290185,19.363226,-99.24556578,Álvaro Obregón,CDMX,18,0,596.8333333333334,1,0,1590.6533530841625
ARCOS DE CENTENARIO,1110,1393.890886,19.35976778,-99.22719871,Álvaro Obregón,CDMX,10,0,1467.9,1,0,1577.958966149305
ARTURO GAMIZ,1506,1043.72,19.35523859,-99.25481401,Álvaro Obregón,CDMX,34,0,879.2941176470588,1,0,1609.2865037499773
ARTURO MARTINEZ,1200,1917.105888,19.38681816,-99.21708993,Álvaro Obregón,CDMX,12,0,394.6666666666667,1,0,1583.9870661205437
ARVIDE,1280,1990.615667,19.38144681,-99.20412203,Álvaro Obregón,CDMX,11,0,987.9090909090908,1,0,1580.7840684942676
ATLAMAXAC,1500,1458.404486,19.35619206,-99.24738086,Álvaro Obregón,CDMX,27,0,721.925925925926,1,0,1601.2472554313597
ATLAMAYA,1760,4275.98,19.35020885,-99.20219321,Álvaro Obregón,CDMX,40,4,1425.725,1,1,3718.157976161614
AVE REAL,1550,1057.83,19.36143728,-99.23769831,Álvaro Obregón,CDMX,20,0,637.9,1,0,1592.9632801779385
AVE REAL (AMPL),1120,1057.83,19.36215639,-99.23545268,Álvaro Obregón,CDMX,22,0,691.1363636363636,1,0,1595.2325996820173
AXOTLA,1030,4915.896643,19.35782561,-99.17491713,Álvaro Obregón,CDMX,119,6,1301.0840336134454,1,1,4866.90565575853
BALCONES DE CEHUAYO,1340,1342.03,19.35773879,-99.24091914,Álvaro Obregón,CDMX,20,0,840.8,1,0,1592.2862477119625
BARRIO NORTE,1140,1671.448411,19.37861665,-99.20714679,Álvaro Obregón,CDMX,2,0,394.5,1,0,1571.752834819877
BATALLON DE SAN PATRICIO (U HAB),1400,2768.64,19.37154034,-99.20655776,Álvaro Obregón,CDMX,14,0,477.4285714285714,1,0,1586.1578654180305
BEJERO,1210,2832.99,19.38093061,-99.24544611,Álvaro Obregón,CDMX,20,2,909.7,1,1,2643.7333031690464
BELEN DE LAS FLORES,1110,2042.386705,19.39625474,-99.21659601,Álvaro Obregón,CDMX,1,0,300.0,1,0,1570.844681695529
BELEN DE LAS FLORES (U HAB),1150,4004.53,19.38529804,-99.22311949,Álvaro Obregón,CDMX,15,0,409.6666666666667,1,0,1587.6074506641871
BELEN DE LAS FLORES SECCION RELLENO,1110,2033.37,19.39824635,-99.21310168,Álvaro Obregón,CDMX,6,0,745.6666666666666,1,0,1575.4749842213453
BELEN DE LAS FLORES_,1630,1220.65,19.3556217,-99.23378059,Álvaro Obregón,CDMX,13,0,1101.3076923076924,1,0,1582.8526399047494
